agência_nacional_do_petróleo,gás_natural_e_biocombustíveis__anpunnamed_1unnamed_2unnamed_3unnamed_4unnamed_5unnamed_6unnamed_7unnamed_8unnamed_9unnamed_10unnamed_11
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;,
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;,
;;;;;;;;;;;,
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;,
COMBUSTÍVEL: TODOS;;;;;;;;;;;,
TIPO RELATÓRIO: CAPITAIS;;;;OBS: ATUALMENTE,O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA,
2025-04-06 00:00:00;2025-04-12 00:00:00;SERGIPE;ARACAJU;ETANOL HIDRATADO;12;R$/l;4.86;0.07103136311133657;4.8;4.99;0.015,
2025-04-06 00:00:00;2025-04-12 00:00:00;PARA;BELEM;ETANOL HIDRATADO;8;R$/l;4.73;0.1934461903771397;4.47;4.99;0.041,
2025-04-06 00:00:00;2025-04-12 00:00:00;RORAIMA;BOA VISTA;ETANOL HIDRATADO;6;R$/l;5.15;0.020412414523193152;5.15;5.2;0.004,
2025-04-06 00:00:00;2025-04-12 00:00:00;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;27;R$/l;4.69;0.07772403515660803;4.48;4.79;0.017,
2025-04-06 00:00:00;2025-04-12 00:00:00;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;16;R$/l;3.96;0.1530454725454715;3.76;4.38;0.039,
2025-04-06 00:00:00;2025-04-12 00:00:00;MATO GROSSO;CUIABA;ETANOL HIDRATADO;19;R$/l;4.14;0.07320163613037446;3.94;4.19;0.018,
2025-04-06 00:00:00;2025-04-12 00:00:00;PARANA;CURITIBA;ETANOL HIDRATADO;46;R$/l;4.94;0.07007932013876213;4.77;4.99;0.014,
2025-04-06 00:00:00;2025-04-12 00:00:00;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;11;R$/l;4.99;0.10668560437949529;4.87;5.29;0.021,
2025-04-06 00:00:00;2025-04-12 00:00:00;CEARA;FORTALEZA;ETANOL HIDRATADO;47;R$/l;5.32;0.23135585558808236;4.69;6.19;0.043,
2025-04-06 00:00:00;2025-04-12 00:00:00;GOIAS;GOIANIA;ETANOL HIDRATADO;12;R$/l;3.99;0.3224468478632869;3.69;4.87;0.081,
2025-04-06 00:00:00;2025-04-12 00:00:00;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;17;R$/l;4.66;0.017863864281247314;4.62;4.69;0.004,
2025-04-06 00:00:00;2025-04-12 00:00:00;AMAPA;MACAPA;ETANOL HIDRATADO;4;R$/l;5.47;0.285;5.33;5.9;0.052,
2025-04-06 00:00:00;2025-04-12 00:00:00;ALAGOAS;MACEIO;ETANOL HIDRATADO;17;R$/l;5.05;0.024101501051618682;5.03;5.09;0.005,
2025-04-06 00:00:00;2025-04-12 00:00:00;AMAZONAS;MANAUS;ETANOL HIDRATADO;31;R$/l;5.48;0.003592106040535498;5.47;5.49;0.001,
